Product_ID,Product_Name,Product_Type,Coverage_Type,Premium_Amount,Load_DTS
b3a1208e-1010-4c76-8545-2bf8e100b8c4,Life Insurance,Premium,Basic,343.31,2025-01-28 10:48:05
903f1d12-f354-4a17-af2c-9d11d697e8b5,Home Insurance,Premium,Comprehensive,380.48,2025-03-05 01:39:52
75712bd4-39d9-4ef2-a4db-8d1e3218252b,Auto Insurance,Standard,Basic,849.53,2025-02-23 22:14:12
206b067b-8249-4f8c-b3d0-f4500d4d0e41,Home Insurance,Enterprise,Comprehensive,514.56,2025-03-04 17:13:57
4c6be595-4c3a-4d00-a2c1-bda4d6107616,Home Insurance,Premium,Comprehensive,877.22,2025-02-26 00:21:02
bc6d3564-01e2-46a9-b707-de8420463784,Auto Insurance,Standard,Basic,569.23,2025-03-05 20:41:00
6b7aa400-c428-4cd7-b675-54c27fcb9abd,Health Insurance,Premium,Basic,377.79,2025-02-08 20:11:07
d29c45ac-ae1b-4612-9d9e-a2370582cbd2,Home Insurance,Enterprise,Third-Party,163.86,2025-01-25 21:40:42
17bf4a50-a0a1-4fd9-92d7-4a07461664c4,Health Insurance,Premium,Comprehensive,774.68,2025-01-07 18:56:09
15db4856-209e-4768-a15b-d7757bdfc401,Home Insurance,Premium,Third-Party,488.22,2025-03-03 14:39:18
e529288a-6733-48fc-b74e-c05b929e661f,Health Insurance,Standard,Basic,605.81,2025-01-11 10:01:05
457d5d92-ae3b-4acc-8b46-96e807ab8e25,Home Insurance,Enterprise,Comprehensive,354.09,2025-01-28 19:58:04
09ffefd4-b31f-48e5-9e4d-e4e9428601ee,Auto Insurance,Premium,Comprehensive,880.01,2025-01-13 11:31:40
2c4cf621-0d38-4a87-aa5c-29f379c1f21f,Health Insurance,Standard,Comprehensive,534.76,2025-02-12 22:21:09
ac2f0bd3-4321-4428-9990-0a7050af8c1d,Travel Insurance,Enterprise,Basic,734.8,2025-01-08 03:58:19
a9705f37-2bb8-4c3c-911b-13b9ea0d4cc5,Auto Insurance,Enterprise,Comprehensive,945.22,2025-03-13 00:07:51
1c84ddd2-490a-4c0c-94ed-7c672baa29b4,Home Insurance,Premium,Basic,667.06,2025-02-09 18:12:12
1c7e3b59-82f7-4f03-b955-09e813cc2f5c,Auto Insurance,Enterprise,Basic,901.43,2025-02-21 16:25:31
